,Nombre,Codigo,"Partic en
Indice Prec Y Cotiz",CoE,CARBON,Beta,Ln B/M,Lev,OIStd,EFdev,ROA,IND,YD 2022,YD 2021,YD 2020,YD 2019,YD 2018
1,Fomento Econ Mex,FEMSAUBD,10.020, 0.1144 , 2.9023 , 0.852 , 0.9080 , 0.5771 , 0.01196 , 0.054176 , 0.04711 ,1,1,0,0,0,0
2,America Movil,AMXB,8.890, 0.2778 , 8.2101 , 0.853 , 1.0979 , 0.7294 , 0.01664 , 0.082907 , 0.04824 ,0,1,0,0,0,0
3,GMexico,GMEXICOB,8.850, 0.1729 , 7.1166 , 1.248 , 0.4614 , 0.3949 , 0.06201 , 0.131672 , 0.10973 ,1,1,0,0,0,0
4,Wal Mart de Mexico,WALMEX,8.430, 0.0854 , 1.6283 , 0.736 , 1.7776 , 0.5166 , 0.02154 , 0.023410 , 0.12418 ,0,1,0,0,0,0
5,Cemex,CEMEXCPO,6.710, 0.2795 , 129.5730 , 1.352 ,-0.5814 , 0.5875 , 0.03085 , 0.154937 , 0.03158 ,1,1,0,0,0,0
6,Gpo Aeroport Pacif,GAPB,4.280, 0.1034 , 1.7909 , 1.487 , 2.0239 , 0.6723 , 0.04266 , 0.087523 , 0.16603 ,0,1,0,0,0,0
7,Asureste,ASURB,3.900, 0.1074 , 2.2130 , 1.226 , 1.1870 , 0.3089 , 0.05607 , 0.068917 , 0.16172 ,0,1,0,0,0,0
8,Bimbo,BIMBOA,3.730, 0.1615 , 2.9341 , 0.531 , 1.0884 , 0.6331 , 0.02150 , 0.069709 , 0.14360 ,1,1,0,0,0,0
9,Arca Continental,AC,3.230, 0.1112 , 2.1180 , 0.585 , 0.8530 , 0.4231 , 0.01043 , 0.090400 , 0.07282 ,1,1,0,0,0,0
10,Gruma,GRUMAB,2.300, 0.1274 , 9.6613 , 0.599 , 1.2407 , 0.6732 , 0.01602 , 0.048719 , 0.07890 ,1,1,0,0,0,0
11,Elektra Gpo,ELEKTRA,1.980, 0.0708 , 0.4123 , 0.286 , 0.9916 , 0.7871 , 0.01612 , 0.251160 ,-0.01735 ,0,1,0,0,0,0
12,Coca Cola Femsa,KOFUBL,1.930, 0.1208 , 3.6857 , 0.476 , 0.8233 , 0.5256 , 0.05116 , 0.163329 , 0.07227 ,1,1,0,0,0,0
13,Vesta,VESTA,1.800, 0.1512 , 0.3915 , 0.804 ,-0.0097 , 0.4448 , 0.00737 , 0.405865 , 0.08398 ,0,1,0,0,0,0
14,Kimberly Clark Mex,KIMBERA,1.730, 0.0966 , 14.4712 , 0.346 , 3.0071 , 0.9061 , 0.03094 , 0.023208 , 0.10119 ,1,1,0,0,0,0
15,OMA,OMAB,1.640, 0.1000 , 0.1870 , 1.445 , 1.9351 , 0.6292 , 0.06817 , 0.075018 , 0.17114 ,0,1,0,0,0,0
16,GCarso,GCARSOA1,1.560, 0.1082 , 2.4309 , 1.150 , 0.4195 , 0.4367 , 0.01077 , 0.123059 , 0.10999 ,1,1,0,0,0,0
17,Penoles Industrias,PE&OLES,1.390, 0.2136 , 28.6104 , 1.068 , 0.1829 , 0.4734 , 0.04455 , 0.669745 , 0.03163 ,1,1,0,0,0,0
18,Alfa,ALFAA,1.340, 0.2484 , 8.0799 , 1.413 , 0.3733 , 0.7902 , 0.02935 , 0.099879 , 0.06112 ,1,1,0,0,0,0
19,Alsea,ALSEA,1.210, 0.2760 , 3.2736 , 2.054 , 1.3669 , 0.8875 , 0.03690 , 0.177208 , 0.02024 ,1,1,0,0,0,0
20,Cementos Chihuahua,GCC,1.110, 0.1283 , 14.7652 , 0.942 , 0.4386 , 0.4150 , 0.01847 , 0.052895 , 0.06004 ,1,1,0,0,0,0
21,Chedraui Grupo,CHDRAUIB,1.090, 0.1733 , 10.2906 , 0.662 , 0.7188 , 0.7255 , 0.01932 , 0.113790 , 0.04379 ,0,1,0,0,0,0
22,Liverpool Puerto de,LIVEPOLC-1,1.030, 0.1671 , 1.1111 , 1.425 , 0.1544 , 0.4385 , 0.03259 , 0.056123 , 0.07838 ,0,1,0,0,0,0
