,Nombre,Codigo,"Partic en
Indice Prec Y Cotiz",CoE,CARBON,Beta,Ln B/M,Lev,OIStd,EFdev,ROA,IND,YD 2022,YD 2021,YD 2020,YD 2019,YD 2018
23,Prom Y Op de Infra,PINFRA,1.010, 0.1252 , 1.5412 , 0.749 , 0.3965 , 0.2798 , 0.01013 , 0.080778 , 0.08157 ,1,1,0,0,0,0
24,Orbia,ORBIA,0.910, 0.3172 , 9.6463 , 1.291 , 0.2888 , 0.7141 , 0.03276 , 0.057545 , 0.05976 ,1,1,0,0,0,0
25,Megacable Holdings,MEGACPO,0.800, 0.2869 , 5.7180 , 0.361 , 0.2467 , 0.4030 , 0.01045 , 0.027697 , 0.06996 ,0,1,0,0,0,0
26,Televisa Gpo,TLEVISACPO,0.760, 1.1252 , 2.2040 , 1.176 ,-0.9406 , 0.5181 , 0.01252 , 0.186903 , 0.15416 ,0,1,0,0,0,0
27,Cuervo,CUERVO,0.580, 0.0771 , 1.4033 , 0.512 , 0.9592 , 0.4030 , 0.01057 , 0.038627 , 0.06156 ,0,1,0,0,0,0
28,Genomma Lab Intern,LABB,0.470, 0.1229 , 0.4030 , 0.602 , 0.5588 , 0.5301 , 0.01620 , 0.070319 , 0.06449 ,0,1,0,0,0,0
29,Aleatica,ALEATIC,-, 0.0563 , 0.4359 , 1.249 , 0.3416 , 0.4997 , 0.05981 , 0.007678 , 0.00012 ,1,1,0,0,0,0
30,Alpek,ALPEKA,-, 0.2743 , 11.0622 , 1.016 , 0.2148 , 0.6185 , 0.08582 , 0.311967 , 0.12882 ,1,1,0,0,0,0
31,Tenedora Nemak,NEMAKA,-, 0.5039 , 12.3716 , 1.142 ,-0.6779 , 0.6718 , 0.02389 , 0.226934 , 0.00972 ,1,1,0,0,0,0
32,Volaris,VOLARA,-, 0.4353 , 60.3457 , 2.151 , 1.4257 , 0.9475 , 0.08485 , 0.358177 ,-0.01905 ,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,
