,Nombre,Codigo,"Partic en
Indice Prec Y Cotiz",CoE,CARBON,Beta,Ln B/M,Lev,OIStd,EFdev,ROA,IND,YD 2022,YD 2021,YD 2020,YD 2019,YD 2018
1,Fomento Econ Mex,FEMSAUBD,10.020,0.0890, 1.9240 , 0.881 , 0.9989 , 0.5515 , 0.00996 , 0.360455 , 0.00589 ,1,0,0,1,0,0
2,America Movil,AMXB,8.890,0.2420, 12.2676 , 0.734 , 1.6049 , 0.8421 , 0.01594 , 0.495250 , 0.03331 ,0,0,0,1,0,0
3,GMexico,GMEXICOB,8.850,0.1397, 6.9191 , 1.055 , 0.8399 , 0.4572 , 0.03163 , 0.117182 , 0.09538 ,1,0,0,1,0,0
4,Wal Mart de Mexico,WALMEX,8.430,0.0786, 2.0893 , 0.480 , 1.7544 , 0.5327 , 0.02764 , 0.074654 , 0.09575 ,0,0,0,1,0,0
5,Cemex,CEMEXCPO,6.710,0.0932, 162.6749 , 1.518 ,-0.0608 , 0.6736 , 0.01022 , 1.178522 ,-0.05199 ,1,0,0,1,0,0
6,Gpo Aeroport Pacif,GAPB,4.280,0.0746, 3.8331 , 1.709 , 1.6785 , 0.5551 , 0.04156 , 0.305627 , 0.04615 ,0,0,0,1,0,0
7,Asureste,ASURB,3.900,0.0818, 3.8743 , 1.531 , 1.0763 , 0.3098 , 0.06317 , 0.280690 , 0.03697 ,0,0,0,1,0,0
8,Bimbo,BIMBOA,3.730,0.1401, 3.8747 , 0.365 , 0.8480 , 0.7139 , 0.00920 , 0.062123 , 0.03781 ,1,0,0,1,0,0
9,Arca Continental,AC,3.230,0.1322, 3.5443 , 0.655 , 0.3678 , 0.4007 , 0.01878 , 0.053199 , 0.05263 ,1,0,0,1,0,0
10,Gruma,GRUMAB,2.300,0.1226, 12.5755 , 0.680 , 1.2238 , 0.6249 , 0.01491 , 0.036998 , 0.08027 ,1,0,0,1,0,0
11,Elektra Gpo,ELEKTRA,1.980,0.0743, 0.4664 , 0.315 , 1.1647 , 0.7474 , 0.01470 , 0.919163 ,-0.00550 ,0,0,0,1,0,0
12,Coca Cola Femsa,KOFUBL,1.930,0.1309, 2.0092 , 0.643 , 0.5285 , 0.5345 , 0.04981 , 0.055359 , 0.04021 ,1,0,0,1,0,0
13,Vesta,VESTA,1.800,0.1188, 0.3610 , 0.934 ,-0.0085 , 0.5082 , 0.01328 , 0.261702 , 0.03375 ,0,0,0,1,0,0
14,Kimberly Clark Mex,KIMBERA,1.730,0.1040, 15.3129 , 0.354 , 2.8913 , 0.8932 , 0.02066 , 0.029688 , 0.14589 ,1,0,0,1,0,0
15,OMA,OMAB,1.640,0.0787, 0.9622 , 1.741 , 1.5482 , 0.4049 , 0.07583 , 0.348924 , 0.06355 ,0,0,0,1,0,0
16,GCarso,GCARSOA1,1.560,0.1032, 5.9439 , 1.135 , 0.4882 , 0.4070 , 0.01146 , 0.374267 , 0.04286 ,1,0,0,1,0,0
17,Penoles Industrias,PE&OLES,1.390,0.1781, 24.1390 , 1.011 , 0.6608 , 0.5102 , 0.05906 , 2.419809 , 0.01155 ,1,0,0,1,0,0
18,Alfa,ALFAA,1.340,0.2943, 10.9146 , 1.855 , 0.6063 , 0.7917 , 0.02680 , 0.429810 , 0.02361 ,1,0,0,1,0,0
19,Alsea,ALSEA,1.210,0.3049, 4.4383 , 2.522 , 1.2367 , 0.9079 , 0.01782 , 0.159943 ,-0.05098 ,1,0,0,1,0,0
20,Cementos Chihuahua,GCC,1.110,0.1308, 24.2263 , 1.083 , 0.5306 , 0.4498 , 0.01924 , 0.202129 , 0.06653 ,1,0,0,1,0,0
21,Chedraui Grupo,CHDRAUIB,1.090,0.2267, 9.0362 , 0.583 ,-0.0550 , 0.6763 , 0.01197 , 0.107656 , 0.03060 ,0,0,0,1,0,0
22,Liverpool Puerto de,LIVEPOLC-1,1.030,0.1383, 1.6302 , 1.725 ,-0.1370 , 0.4736 , 0.01640 , 0.664287 , 0.00376 ,0,0,0,1,0,0
