,Nombre,Codigo,"Partic en
Indice Prec Y Cotiz",CoE,CARBON,Beta,Ln B/M,Lev,OIStd,EFdev,ROA,IND,YD 2022,YD 2021,YD 2020,YD 2019,YD 2018
23,Prom Y Op de Infra,PINFRA,1.010,0.0984, 2.0976 , 0.953 , 0.5002 , 0.2925 , 0.01229 , 0.169261 , 0.04677 ,1,0,0,1,0,0
24,Orbia,ORBIA,0.910,0.2006, 16.2106 , 1.338 , 0.6821 , 0.6886 , 0.02091 , 0.295320 , 0.03345 ,1,0,0,1,0,0
25,Megacable Holdings,MEGACPO,0.800,0.1742, 6.3922 , 0.162 , 0.6545 , 0.3192 , 0.02467 , 0.052218 , 0.10462 ,0,0,0,1,0,0
26,Televisa Gpo,TLEVISACPO,0.760,0.2621, 2.1129 , 1.090 , 0.2168 , 0.6758 , 0.00771 , 2.518311 , 0.00104 ,0,0,0,1,0,0
27,Cuervo,CUERVO,0.580,0.0602, 3.1104 , 0.504 , 1.1881 , 0.3290 , 0.01975 , 0.097124 , 0.07285 ,0,0,0,1,0,0
28,Genomma Lab Intern,LABB,0.470,0.0950, 0.0659 , 0.602 , 0.7175 , 0.5647 , 0.11830 , 0.062515 , 0.07289 ,0,0,0,1,0,0
29,Aleatica,ALEATIC,-,0.0496, 1.4797 , 1.162 , 0.0386 , 0.4703 , 0.05439 , 0.039190 ,-0.00849 ,1,0,0,1,0,0
30,Alpek,ALPEKA,-,0.2583, 22.2829 , 1.271 ,-0.0931 , 0.5721 , 0.08989 , 0.451181 , 0.04009 ,1,0,0,1,0,0
31,Tenedora Nemak,NEMAKA,-,0.4035, 17.5155 , 1.003 ,-0.6926 , 0.6387 , 0.01563 , 1.185732 ,-0.01051 ,1,0,0,1,0,0
32,Volaris,VOLARA,-,0.1878, 78.0732 , 2.297 , 2.1932 , 0.9590 , 0.06122 , 0.168795 ,-0.06784 ,1,0,0,1,0,0
,,,,,,,,,,,,,,,,,
