,Nombre,Codigo,"Partic en
Indice Prec Y Cotiz",CoE,CARBON,Beta,Ln B/M,Lev,OIStd,EFdev,ROA,IND,YD 2022,YD 2021,YD 2020,YD 2019,YD 2018
1,Fomento Econ Mex,FEMSAUBD,10.020,0.0873, 2.2461 , 0.814 , 1.1133 , 0.4891 , 0.00901 , 0.075191 , 0.04866 ,1,0,0,0,1,0
2,America Movil,AMXB,8.890,0.2541, 15.2960 , 0.766 , 1.6482 , 0.8519 , 0.01686 , 0.118718 , 0.04920 ,0,0,0,0,1,0
3,GMexico,GMEXICOB,8.850,0.1451, 6.3235 , 1.218 , 0.4982 , 0.4731 , 0.02873 , 0.057590 , 0.09442 ,1,0,0,0,1,0
4,Wal Mart de Mexico,WALMEX,8.430,0.0847, 2.3112 , 0.615 , 1.7269 , 0.5184 , 0.02401 , 0.032699 , 0.12364 ,0,0,0,0,1,0
5,Cemex,CEMEXCPO,6.710,0.1771, 171.1803 , 1.619 ,-0.4970 , 0.6314 , 0.01149 , 0.137049 , 0.00610 ,1,0,0,0,1,0
6,Gpo Aeroport Pacif,GAPB,4.280,0.0810, 3.3551 , 0.886 , 1.8596 , 0.5029 , 0.05170 , 0.030407 , 0.13792 ,0,0,0,0,1,0
7,Asureste,ASURB,3.900,0.0914, 3.7935 , 0.970 , 1.2264 , 0.3259 , 0.06081 , 0.036902 , 0.10117 ,0,0,0,0,1,0
8,Bimbo,BIMBOA,3.730,0.1462, 4.9038 , 0.688 , 0.7701 , 0.7194 , 0.01516 , 0.058751 , 0.02801 ,1,0,0,0,1,0
9,Arca Continental,AC,3.230,0.1368, 3.9021 , 0.859 , 0.4474 , 0.4086 , 0.02790 , 0.065980 , 0.04937 ,1,0,0,0,1,0
10,Gruma,GRUMAB,2.300,0.1230, 5.5750 , 0.805 , 1.1269 , 0.6116 , 0.02845 , 0.020061 , 0.07823 ,1,0,0,0,1,0
11,Elektra Gpo,ELEKTRA,1.980,0.0870, 0.5984 , 0.487 , 1.1778 , 0.7191 , 0.02034 , 0.288587 , 0.05822 ,0,0,0,0,1,0
12,Coca Cola Femsa,KOFUBL,1.930,0.1298, 2.2167 , 0.411 , 0.7053 , 0.4970 , 0.05005 , 0.055828 , 0.04788 ,1,0,0,0,1,0
13,Vesta,VESTA,1.800,0.1314, 0.2820 , 0.777 ,-0.0724 , 0.4693 , 0.01742 , 0.183164 , 0.06480 ,0,0,0,0,1,0
14,Kimberly Clark Mex,KIMBERA,1.730,0.0939, 16.6295 , 0.507 , 3.0860 , 0.8759 , 0.02150 , 0.036206 , 0.12494 ,1,0,0,0,1,0
15,OMA,OMAB,1.640,0.0865, 1.8180 , 1.114 , 1.7439 , 0.4277 , 0.07594 , 0.035952 , 0.20701 ,0,0,0,0,1,0
16,GCarso,GCARSOA1,1.560,0.0995, 5.0813 , 0.864 , 0.6120 , 0.3709 , 0.01718 , 0.127666 , 0.06096 ,1,0,0,0,1,0
17,Penoles Industrias,PE&OLES,1.390,0.1809, 29.2298 , 1.420 , 0.1690 , 0.4518 , 0.05889 , 0.329318 , 0.01384 ,1,0,0,0,1,0
18,Alfa,ALFAA,1.340,0.3624, 16.3978 , 1.261 , 0.0915 , 0.7206 , 0.02903 , 0.268778 , 0.02370 ,1,0,0,0,1,0
19,Alsea,ALSEA,1.210,0.2712, 4.3733 , 0.939 , 1.4728 , 0.8489 , 0.02231 , 0.127870 , 0.01996 ,1,0,0,0,1,0
20,Cementos Chihuahua,GCC,1.110,0.1389, 28.8313 , 0.899 , 0.5038 , 0.4778 , 0.02513 , 0.065824 , 0.05875 ,1,0,0,0,1,0
21,Chedraui Grupo,CHDRAUIB,1.090,0.2275, 10.1838 , 0.969 ,-0.0469 , 0.6864 , 0.01229 , 0.139094 , 0.02252 ,0,0,0,0,1,0
22,Liverpool Puerto de,LIVEPOLC-1,1.030,0.1450, 2.0033 , 0.935 , 0.1469 , 0.4562 , 0.01593 , 0.058063 , 0.07097 ,0,0,0,0,1,0
23,Prom Y Op de Infra,PINFRA,1.010,0.0939, 1.5030 , 0.884 , 0.6514 , 0.3173 , 0.02651 , 0.060771 , 0.09661 ,1,0,0,0,1,0
24,Orbia,ORBIA,0.910,0.1952, 13.6875 , 1.004 , 0.6365 , 0.6923 , 0.02818 , 0.184724 , 0.03119 ,1,0,0,0,1,0
25,Megacable Holdings,MEGACPO,0.800,0.1610, 6.2874 , 0.195 , 0.8098 , 0.2843 , 0.03449 , 0.036648 , 0.11245 ,0,0,0,0,1,0
26,Televisa Gpo,TLEVISACPO,0.760,0.2533, 2.3346 , 0.988 , 0.3455 , 0.6370 , 0.00970 , 0.165562 , 0.02055 ,0,0,0,0,1,0
27,Cuervo,CUERVO,0.580,0.0620, 4.3797 , 0.335 , 0.9556 , 0.3129 , 0.02190 , 0.035109 , 0.05573 ,0,0,0,0,1,0
28,Genomma Lab Intern,LABB,0.470,0.0880, 0.1514 , 0.274 , 0.8997 , 0.5859 , 0.11153 , 0.307958 , 0.04229 ,0,0,0,0,1,0
29,Aleatica,ALEATIC,-,0.0590, 1.0075 , 0.571 , 0.1287 , 0.4569 , 0.04602 , 0.056774 ,-0.00057 ,1,0,0,0,1,0
30,Alpek,ALPEKA,-,0.3072, 21.6401 , 0.642 , 0.0878 , 0.5617 , 0.09943 , 0.257505 , 0.06276 ,1,0,0,0,1,0
31,Tenedora Nemak,NEMAKA,-,0.4187, 18.3419 , 0.533 ,-0.3277 , 0.6175 , 0.01418 , 0.121573 , 0.02673 ,1,0,0,0,1,0
32,Volaris,VOLARA,-,0.2716, 49.4514 , 0.767 , 1.2863 , 0.9126 , 0.07226 , 0.148477 , 0.11829 ,1,0,0,0,1,0
,,,,,,,,,,,,,,,,,
