,Nombre,Codigo,"Partic en
Indice Prec Y Cotiz",CoE,CARBON,Beta,Ln B/M,Lev,OIStd,EFdev,ROA,IND,YD 2022,YD 2021,YD 2020,YD 2019,YD 2018
1,Fomento Econ Mex,FEMSAUBD,10.020,0.0934, 3.3200 , 0.848 , 1.0362 , 0.4178 , 0.00816 , 0.120899 , 0.05621 ,1,0,0,0,0,1
2,America Movil,AMXB,8.890,0.2526, 11.3228 , 0.772 , 1.4497 , 0.8280 , 0.01969 , 0.201411 , 0.03668 ,0,0,0,0,0,1
3,GMexico,GMEXICOB,8.850,0.1737, 7.6005 , 1.131 , 0.2807 , 0.4746 , 0.03505 , 0.167937 , 0.06407 ,1,0,0,0,0,1
4,Wal Mart de Mexico,WALMEX,8.430,0.0864, 1.8447 , 0.806 , 1.6660 , 0.4620 , 0.01927 , 0.014419 , 0.12448 ,0,0,0,0,0,1
5,Cemex,CEMEXCPO,6.710,0.2587, 176.7534 , 1.286 ,-0.2815 , 0.6027 , 0.01478 , 0.104979 , 0.01973 ,1,0,0,0,0,1
6,Gpo Aeroport Pacif,GAPB,4.280,0.0927, 2.8964 , 0.880 , 1.4656 , 0.4495 , 0.05248 , 0.046939 , 0.13003 ,0,0,0,0,0,1
7,Asureste,ASURB,3.900,0.1018, 4.1558 , 0.873 , 1.1162 , 0.3471 , 0.04141 , 0.023628 , 0.09043 ,0,0,0,0,0,1
8,Bimbo,BIMBOA,3.730,0.1272, 5.3770 , 0.681 , 0.8310 , 0.6788 , 0.01823 , 0.236865 , 0.02627 ,1,0,0,0,0,1
9,Arca Continental,AC,3.230,0.1268, 2.8024 , 1.015 , 0.5494 , 0.4134 , 0.03879 , 0.161879 , 0.04503 ,1,0,0,0,0,1
10,Gruma,GRUMAB,2.300,0.1188, 5.1234 , 0.775 , 1.2840 , 0.5779 , 0.04099 , 0.040305 , 0.08173 ,1,0,0,0,0,1
11,Elektra Gpo,ELEKTRA,1.980,0.1030, 0.5899 , 0.652 , 0.9454 , 0.6951 , 0.01943 , 0.325353 , 0.06262 ,0,0,0,0,0,1
12,Coca Cola Femsa,KOFUBL,1.930,0.0970, 2.2382 , 0.876 , 0.6949 , 0.5005 , 0.05042 , 0.070031 , 0.05275 ,1,0,0,0,0,1
13,Vesta,VESTA,1.800,0.1545, 0.2409 , 0.718 ,-0.2644 , 0.4716 , 0.01868 , 0.212362 , 0.05076 ,0,0,0,0,0,1
14,Kimberly Clark Mex,KIMBERA,1.730,0.0876, 18.4138 , 0.758 , 2.8502 , 0.8640 , 0.02216 , 0.037140 , 0.10708 ,1,0,0,0,0,1
15,OMA,OMAB,1.640,0.0990, 4.7478 , 1.243 , 1.4848 , 0.4540 , 0.06741 , 0.046222 , 0.20169 ,0,0,0,0,0,1
16,GCarso,GCARSOA1,1.560,0.1047, 7.6637 , 0.810 , 0.6403 , 0.3243 , 0.03162 , 0.146723 , 0.08728 ,1,0,0,0,0,1
17,Penoles Industrias,PE&OLES,1.390,0.2315, 24.6832 , 1.076 , 0.2876 , 0.4169 , 0.06599 , 0.107014 , 0.05863 ,1,0,0,0,0,1
18,Alfa,ALFAA,1.340,0.3153, 11.8985 , 1.348 , 0.4765 , 0.7344 , 0.02135 , 0.150391 , 0.05003 ,1,0,0,0,0,1
19,Alsea,ALSEA,1.210,0.1542, 5.5417 , 0.926 , 1.3082 , 0.7525 , 0.03395 , 0.104312 , 0.02881 ,1,0,0,0,0,1
20,Cementos Chihuahua,GCC,1.110,0.1293, 31.1383 , 0.773 , 0.5433 , 0.4829 , 0.03127 , 0.223610 , 0.03386 ,1,0,0,0,0,1
21,Chedraui Grupo,CHDRAUIB,1.090,0.1791, 21.9749 , 1.068 , 0.2586 , 0.5668 , 0.01094 , 0.086605 , 0.02884 ,0,0,0,0,0,1
22,Liverpool Puerto de,LIVEPOLC-1,1.030,0.1289, 3.0582 , 0.837 , 0.5221 , 0.4233 , 0.01423 , 0.039785 , 0.06960 ,0,0,0,0,0,1
23,Prom Y Op de Infra,PINFRA,1.010,0.0975, 1.2631 , 0.755 , 0.7051 , 0.1975 , 0.03497 , 0.071474 , 0.11947 ,1,0,0,0,0,1
24,Orbia,ORBIA,0.910,0.1851, 12.4473 , 1.131 , 0.7957 , 0.6849 , 0.02041 , 0.179145 , 0.04946 ,1,0,0,0,0,1
25,Megacable Holdings,MEGACPO,0.800,0.1377, 6.5806 , 0.278 , 1.0219 , 0.2767 , 0.03518 , 0.027339 , 0.13116 ,0,0,0,0,0,1
26,Televisa Gpo,TLEVISACPO,0.760,0.2147, 2.2884 , 1.222 , 0.4659 , 0.6482 , 0.00882 , 0.107950 , 0.02562 ,0,0,0,0,0,1
27,Cuervo,CUERVO,0.580,0.0748, 4.3944 , 0.487 , 0.6771 , 0.2824 , 0.02458 , 0.114391 , 0.06211 ,0,0,0,0,0,1
28,Genomma Lab Intern,LABB,0.470,0.1087, 0.3186 , 0.358 , 0.4987 , 0.5891 , 0.11901 , 0.152604 , 0.06984 ,0,0,0,0,0,1
29,Aleatica,ALEATIC,-,0.1161, 1.2543 , 0.623 ,-0.6653 , 0.3866 , 0.02508 , 0.162140 ,-0.00397 ,1,0,0,0,0,1
30,Alpek,ALPEKA,-,0.2505, 17.9895 , 0.825 , 0.2898 , 0.6400 , 0.06356 , 0.108273 , 0.15925 ,1,0,0,0,0,1
31,Tenedora Nemak,NEMAKA,-,0.3249, 16.8277 , 0.462 , 0.2227 , 0.6129 , 0.02190 , 0.163831 , 0.03582 ,1,0,0,0,0,1
32,Volaris,VOLARA,-,0.2576, 56.2631 , 0.778 , 0.1452 , 0.5889 , 0.08710 , 0.321322 ,-0.04160 ,1,0,0,0,0,1
,,,,,,,,,,,,,,,,,
